age	len
5	54
4	50
7	55
1	15
1	15
1	16
1	14
1	14
1	14
1	14
1	16
2	25
2	28
2	26
2	27
2	30
2	26
2	26
2	26
2	28
2	25
2	27
2	24
2	26
2	26
2	27
2	26
2	26
2	26
2	25
2	28
2	26
2	27
2	27
1	14
1	15
2	22
2	23
2	24
2	25
2	26
2	24
2	24
2	25
2	24
2	22
2	26
2	25
2	25
2	23
2	27
2	26
2	27
2	24
2	26
2	26
3	46
1	14
1	15
1	14
1	14
5	57
2	26
2	27
5	58
5	54
2	27
2	27
2	24
2	26
2	26
2	27
2	25
2	30
2	28
5	47
5	50
7	58
2	25
2	28
2	24
2	30
2	29
2	30
2	26
2	29
2	26
2	26
2	25
2	29
2	24
7	64
9	61
6	49
7	56
9	73
1	13
1	15
1	15
1	15
1	14
1	14
1	14
4	48
5	51
5	50
5	54
6	50
4	51
5	51
5	50
5	49
5	53
5	49
5	52
5	51
5	50
7	65
5	55
5	54
7	55
4	52
7	63
5	52
7	55
7	53
6	59
6	49
6	52
5	47
6	56
6	47
8	54
7	66
15	68
5	53
7	60
6	52
5	47
2	26
2	24
2	26
2	28
2	30
2	22
2	27
2	23
2	28
2	25
2	25
2	26
2	24
2	26
2	26
2	28
2	27
2	29
2	26
2	28
5	51
4	43
1	13
1	13
1	13
2	26
2	26
6	57
2	29
2	24
2	25
5	54
7	51
13	63
6	52
5	48
5	58
5	45
5	56
9	54
5	45
4	45
5	52
7	64
7	65
7	65
7	68
2	24
2	23
2	25
2	29
2	25
2	26
2	27
1	15
2	23
5	52
7	48
4	45
5	51
7	68
5	50
5	55
5	47
4	46
5	59
4	46
7	50
5	53
5	53
5	49
2	31
2	24
4	42
4	41
5	53
2	27
2	33
5	49
4	45
7	56
7	58
6	48
7	52
7	50
1	15
1	13
1	14
1	13
2	25
2	25
2	27
2	26
2	30
6	51
5	51
1	14
1	10
5	50
2	27
4	40
11	83
8	65
9	68
4	50
6	57
5	49
8	66
5	53
9	67
12	73
8	59
1	15
2	28
5	44
5	51
7	62
8	65
5	52
8	58
7	52
1	16
7	58
6	54
5	44
5	51
7	59
1	15
1	13
5	44
5	51
4	42
5	57
3	35
1	13
2	24
1	14
2	22
2	26
2	27
2	25
5	45
2	23
3	35
4	43
4	37
5	40
3	34
2	24
2	23
3	33
7	40
3	36
4	40
3	37
4	39
3	37
3	35
5	49
7	71
4	44
3	34
5	47
5	51
7	72
8	72
7	74
7	75
5	49
2	24
4	42
5	45
5	52
4	43
3	33
5	50
5	46
2	27
5	55
5	59
5	54
5	52
2	24
5	59
8	68
2	30
5	60
4	44
5	49
5	50
8	75
5	51
5	53
5	52
4	41
5	55
5	58
5	53
5	56
5	50
5	54
5	53
5	59
4	41
5	50
5	57
5	47
4	43
2	27
2	25
2	24
2	26
2	26
4	46
2	28
4	45
5	53
2	25
2	25
2	24
2	23
2	23
2	23
2	23
2	24
2	25
2	25
2	25
2	28
2	24
2	28
2	25
2	27
2	24
2	25
2	24
2	24
2	24
2	26
2	23
3	37
2	25
2	25
2	24
2	26
3	35
3	33
5	46
2	25
2	27
2	27
3	36
2	27
4	38
3	36
3	35
3	40
2	27
2	26
2	24
2	24
2	25
3	31
2	26
2	26
2	26
2	27
2	26
2	28
2	29
3	37
5	52
5	46
2	25
2	31
2	28
2	26
2	24
5	60
5	58
5	50
4	48
4	47
5	50
5	58
3	40
5	61
5	58
5	54
5	57
5	55
4	47
5	51
5	55
5	46
5	52
5	51
1	13
4	46
5	49
4	46
5	52
4	47
5	50
4	43
5	54
9	58
3	42
4	41
4	48
5	57
4	46
7	57
7	70
5	50
4	49
5	61
5	50
1	16
2	29
4	56
2	29
2	29
2	29
4	50
2	30
2	25
4	54
8	56
2	26
2	26
2	21
2	24
2	27
2	29
2	26
2	26
2	27
2	30
2	28
2	28
2	26
2	27
2	28
2	27
2	26
3	41
2	33
5	53
2	24
2	25
2	29
2	26
6	64
2	26
2	27
2	26
2	26
2	31
2	28
4	49
6	63
6	70
1	15
2	27
2	29
2	27
4	50
4	54
2	33
4	41
2	26
2	26
9	69
5	60
4	51
4	51
4	48
4	48
5	60
5	59
3	43
5	56
5	62
5	56
5	60
8	59
5	63
4	53
5	63
5	58
5	60
4	56
5	58
6	66
4	51
4	49
5	56
5	61
4	47
4	48
4	46
4	48
4	46
4	46
4	51
5	59
5	60
5	67
5	61
4	53
14	70
11	70
5	58
5	55
6	60
8	64
4	44
7	65
7	57
8	64
6	57
5	57
5	53
4	53
5	52
4	52
5	57
4	47
5	60
4	52
6	62
4	47
6	69
5	59
5	53
5	54
2	31
4	45
5	54
7	54
9	58
7	69
6	67
7	74
5	54
6	63
4	51
5	57
4	51
9	71
6	64
6	64
5	62
4	48
4	51
2	28
2	28
2	25
2	28
6	56
5	50
8	61
7	62
1	14
1	15
1	15
1	15
2	25
2	26
8	61
4	38
5	47
2	25
2	28
2	28
2	31
5	54
2	32
1	13
1	15
1	15
1	15
4	53
4	55
4	51
5	47
6	56
5	52
3	41
3	47
5	56
3	40
6	55
4	45
5	53
5	53
4	52
3	45
3	40
2	30
4	53
5	52
2	24
2	25
